Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
SprintzXff -69,42113380,386.07,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2430.56,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.11
SprintzXff -70,41907649,394.86,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2592.93,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.91
SprintzXff -71,42023272,401.97,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2458.71,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.02
SprintzXff -72,42022462,413.19,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2527.57,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.02
SprintzXff -73,41844736,392.21,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2449.73,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.84
SprintzXff -74,42036968,423.14,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2543.31,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.04
SprintzXff -75,41996085,383.63,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2407.26,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.0
SprintzXff -76,41825604,384.37,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2458.7,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.83
SprintzXff -77,42014992,373.55,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2521.43,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.01
SprintzXff -78,41892376,408.48,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2732.62,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.89
