Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Simple8B,242088,767.24,ucr,1436.54,/colmajor/uint8-as-uint32/ucr/Cricket_X.dat,1,0,8,f,951580,None,25.44
SIMDBP128,243784,2931.18,ucr,3482.2,/colmajor/uint8-as-uint32/ucr/Cricket_Z.dat,1,0,8,f,951580,None,25.62
FastPFOR,237896,759.67,ucr,2418.78,/colmajor/uint8-as-uint32/ucr/Cricket_Z.dat,1,0,8,f,951580,None,25.0
Simple8B,239440,1122.76,ucr,2090.0,/colmajor/uint8-as-uint32/ucr/Cricket_Z.dat,1,0,8,f,951580,None,25.16
SIMDBP128,113640,2851.8,ucr,3181.65,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,1,0,8,f,403980,None,28.13
FastPFOR,113668,1050.73,ucr,2245.09,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,1,0,8,f,403980,None,28.14
Simple8B,118348,768.37,ucr,2254.28,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,1,0,8,f,403980,None,29.3
SIMDBP128,270552,2925.64,ucr,3501.35,/colmajor/uint8-as-uint32/ucr/50words.dat,1,0,8,f,995480,None,27.18
FastPFOR,270704,643.26,ucr,2313.54,/colmajor/uint8-as-uint32/ucr/50words.dat,1,0,8,f,995480,None,27.19
Simple8B,247412,1067.32,ucr,1865.71,/colmajor/uint8-as-uint32/ucr/50words.dat,1,0,8,f,995480,None,24.85
SIMDBP128,57888,2556.62,ucr,3018.14,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,1,0,8,f,205680,None,28.14
FastPFOR,57904,933.95,ucr,2176.88,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,1,0,8,f,205680,None,28.15
Simple8B,54516,843.6,ucr,1743.89,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,1,0,8,f,205680,None,26.51
SIMDBP128,256316,2001.68,ucr,2373.99,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,1,0,8,f,943660,None,27.16
FastPFOR,265388,652.75,ucr,1598.64,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,1,0,8,f,943660,None,28.12
Simple8B,239992,708.89,ucr,1383.58,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,1,0,8,f,943660,None,25.43
Memcpy,112695,6534.94,ucr,6399.49,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,0,8,c,112695,None,100.0
SprintzDelta -1,49702,128.21,ucr,285.97,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,0,8,c,112695,None,44.1
SprintzXff -1,46910,192.5,ucr,175.07,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,0,8,c,112695,None,41.63
SprintzDelta_Huf -1,47614,45.37,ucr,88.23,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,0,8,c,112695,None,42.25
SprintzXff_Huf -1,46717,66.1,ucr,122.35,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,0,8,c,112695,None,41.45
SprintzDelta -1,57993,299.01,ucr,397.66,/rowmajor/uint8/ucr/MoteStrain.dat,1,0,8,c,113203,None,51.23
