Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
FastPFOR,101888,1807.1,ucr,7873.01,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,-1,0,8,f,403980,None,25.22
Simple8B,115188,1259.81,ucr,5561.48,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,-1,0,8,f,403980,None,28.51
SIMDBP128,241400,13063.87,ucr,11549.43,/colmajor/uint8-as-uint32/ucr/50words.dat,-1,0,8,f,995480,None,24.25
FastPFOR,244348,1432.66,ucr,7760.03,/colmajor/uint8-as-uint32/ucr/50words.dat,-1,0,8,f,995480,None,24.55
Simple8B,240108,2167.39,ucr,4279.41,/colmajor/uint8-as-uint32/ucr/50words.dat,-1,0,8,f,995480,None,24.12
SIMDBP128,51888,5794.95,ucr,7177.3,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,-1,0,8,f,205680,None,25.23
FastPFOR,51928,1431.72,ucr,6230.84,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,-1,0,8,f,205680,None,25.25
Simple8B,53028,1469.11,ucr,3769.17,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,-1,0,8,f,205680,None,25.78
SIMDBP128,228684,6082.56,ucr,6378.49,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,-1,0,8,f,943660,None,24.23
FastPFOR,237832,1125.98,ucr,6370.31,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,-1,0,8,f,943660,None,25.2
Simple8B,233236,1530.68,ucr,3353.75,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,-1,0,8,f,943660,None,24.72
Memcpy,112695,8171.63,ucr,10003.11,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,-1,0,8,c,112695,None,100.0
SprintzDelta -1,48249,373.84,ucr,441.52,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,-1,0,8,c,112695,None,42.81
SprintzXff -1,43849,220.24,ucr,256.2,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,-1,0,8,c,112695,None,38.91
SprintzDelta_Huf -1,39821,227.62,ucr,217.18,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,-1,0,8,c,112695,None,35.34
SprintzXff_Huf -1,35259,158.44,ucr,158.52,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,-1,0,8,c,112695,None,31.29
SprintzDelta -1,56586,227.48,ucr,334.75,/rowmajor/uint8/ucr/MoteStrain.dat,-1,0,8,c,113203,None,49.99
SprintzXff -1,57967,182.13,ucr,218.31,/rowmajor/uint8/ucr/MoteStrain.dat,-1,0,8,c,113203,None,51.21
